File Name,Class 1,Class 2
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w0.npy,1,1
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w1000000.npy,4,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w10000000.npy,3,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w11000000.npy,3,5
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w12000000.npy,2,4
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w13000000.npy,5,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w14000000.npy,3,5
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w15000000.npy,3,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w16000000.npy,3,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w17000000.npy,6,5
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w18000000.npy,3,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w19000000.npy,4,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w2000000.npy,4,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w20000000.npy,5,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w21000000.npy,4,5
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w22000000.npy,4,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w23000000.npy,3,2
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w24000000.npy,2,6
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w25000000.npy,1,1
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w26000000.npy,1,1
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w29000000.npy,1,1
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w3000000.npy,3,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w30000000.npy,4,5
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w31000000.npy,4,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w32000000.npy,6,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w33000000.npy,5,3
test.bedpe.chr20..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w34000000.npy,1,1
