File Name,Class 1,Class 2
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w0.npy,1,1
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w1000000.npy,3,6
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w10000000.npy,5,3
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w11000000.npy,6,3
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w12000000.npy,3,3
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w13000000.npy,3,6
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w14000000.npy,1,1
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w15000000.npy,1,1
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w16000000.npy,1,1
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w17000000.npy,3,3
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w18000000.npy,1,1
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w19000000.npy,5,3
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w2000000.npy,1,1
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w20000000.npy,3,3
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w21000000.npy,1,1
test.bedpe.chr16..norm_SQRTVC.obsOverExp_SQRTVCexpected.bedpe.gz.split.w22000000.npy,1,1
